Date,Open,High,Low,Close
24/04/2023,4132.07,4142.41,4117.77,4137.04
21/04/2023,4132.14,4138.02,4113.86,4133.52
20/04/2023,4130.48,4148.57,4114.57,4129.79
19/04/2023,4139.33,4162.57,4134.49,4154.52
18/04/2023,4164.26,4169.48,4140.36,4154.87
17/04/2023,4137.17,4151.72,4123.18,4151.32
14/04/2023,4140.11,4163.19,4113.2,4137.64
13/04/2023,4100.04,4150.26,4099.4,4146.22
12/04/2023,4121.72,4134.37,4086.94,4091.95
11/04/2023,4110.29,4124.26,4102.61,4108.94
10/04/2023,4085.2,4109.5,4072.55,4109.11
06/04/2023,4081.15,4107.32,4069.84,4105.02
05/04/2023,4094.5,4099.69,4072.56,4090.38
04/04/2023,4128.03,4133.13,4086.87,4100.6
03/04/2023,4102.2,4127.66,4098.79,4124.51
31/03/2023,4056.18,4110.75,4056.18,4109.31
30/03/2023,4046.74,4057.85,4032.1,4050.83
29/03/2023,3999.53,4030.59,3999.53,4027.81
28/03/2023,3974.13,3979.2,3951.53,3971.27
27/03/2023,3982.93,4003.83,3970.49,3977.53
24/03/2023,3939.21,3972.74,3909.16,3970.99
23/03/2023,3959.21,4007.66,3919.05,3948.72
22/03/2023,4002.04,4039.49,3936.17,3936.97
21/03/2023,3975.89,4009.08,3971.19,4002.87
20/03/2023,3917.47,3956.62,3916.89,3951.57
17/03/2023,3958.69,3958.91,3901.27,3916.64
16/03/2023,3878.93,3964.46,3864.11,3960.28
15/03/2023,3876.74,3894.26,3838.24,3891.93
14/03/2023,3894.01,3937.29,3873.63,3919.29
13/03/2023,3835.12,3905.05,3808.86,3855.76
10/03/2023,3912.77,3934.05,3846.32,3861.59
09/03/2023,3998.66,4017.81,3908.7,3918.32
08/03/2023,3987.55,4000.41,3969.76,3992.01
07/03/2023,4048.26,4050,3980.31,3986.37
06/03/2023,4055.15,4078.49,4044.61,4048.42
03/03/2023,3998.02,4048.29,3995.17,4045.64
02/03/2023,3938.68,3990.84,3928.16,3981.35
01/03/2023,3963.34,3971.73,3939.05,3951.39
28/02/2023,3977.19,3997.5,3968.98,3970.15
27/02/2023,3992.36,4018.05,3973.55,3982.24
24/02/2023,3973.24,3978.25,3943.08,3970.04
23/02/2023,4018.6,4028.3,3969.19,4012.32
22/02/2023,4001.83,4017.37,3976.9,3991.05
21/02/2023,4052.35,4052.35,3995.19,3997.34
17/02/2023,4077.39,4081.51,4047.95,4079.09
16/02/2023,4114.75,4136.54,4089.49,4090.41
15/02/2023,4119.5,4148.11,4103.98,4147.6
14/02/2023,4126.7,4159.77,4095.01,4136.13
13/02/2023,4096.62,4138.9,4092.67,4137.29
10/02/2023,4068.92,4094.36,4060.79,4090.46
09/02/2023,4144.25,4156.23,4069.67,4081.5
08/02/2023,4153.47,4156.85,4111.67,4117.86
07/02/2023,4105.35,4176.54,4088.39,4164
06/02/2023,4119.57,4124.63,4093.38,4111.08
03/02/2023,4136.69,4182.36,4123.36,4136.48
02/02/2023,4158.68,4195.44,4141.88,4179.76
01/02/2023,4070.07,4148.95,4037.2,4119.21
